"outcome","median","lower_89","upper_89","lower_66","upper_66"
"Albert 2024 Exp-1",0.200688798730269,-0.24038964788309,0.51991882809501,-0.0615109103836574,0.395624213191301
"Albert 2024 Exp-2",0.28479628537105,-0.0756683373945444,0.583031660130686,0.0854409455979439,0.453571253763005
"Bernasconi (2021) Exp-1",0.375507464079817,-0.0246821032793982,0.794603294645554,0.170561103691139,0.601933370240975
"Bernasconi (2021) Exp-2",0.417363610931379,0.0809813171170083,0.885166573665254,0.225802269644237,0.677209356724303
"Blanke 2014",0.530904055095213,0.218513646358244,0.966242993801959,0.329032638388902,0.78790981182581
"Dhanis (2024) Ses-1",0.194128915898592,-0.333099714962689,0.531196686904687,-0.101574765411129,0.395333289117905
"Faivre (2020) Exp-1",0.37882961448375,-0.00214424430074967,0.887766866435923,0.177992872251496,0.64278911930271
"Faivre (2020) Exp-2",0.710468142274772,0.171104469190938,1.39566186314901,0.31681276764328,1.17804283021894
"Faivre (2020) Exp-3",0.365191670124088,0.0362836268022809,0.756048864562229,0.184810850220706,0.575878177485051
"Orepic (2024) Exp-1",0.153265232289794,-0.302994477588941,0.483128460047399,-0.129915990459628,0.3642609708449
"Orepic (2024) Exp-2",0.328005869395011,0.0285386259362648,0.620066634260564,0.161550082948481,0.491504257873409
"Orepic 2021 Exp-1",0.277182068436222,-0.176456676701416,0.626215935372319,0.029385418117838,0.470820119961338
"Orepic_2021 Exp-2",0.236697841220516,-0.216024008236281,0.568438254192583,-0.0140874574932079,0.426876702752506
"Pilot 1",0.306063579281971,-0.123926073331988,0.754640647221245,0.0780738709715267,0.532875747606663
"Pilot 2",0.339355185387331,-0.117712273097701,0.766402842640672,0.110437301214111,0.565963673610036
"Pilot 3",0.495872837852023,0.157430184421698,0.960628941874802,0.279810902713665,0.787143805490828
"Pilot 4",0.305787982061282,-0.0706791511261889,0.684101609509692,0.103460372511028,0.502574912680442
"Pilot 5",0.333990437741284,0.0348190348976537,0.651515099570636,0.168194424266804,0.505847156971792
"Pilot 6",0.048277902868141,-0.540709274872601,0.476180016385429,-0.333294772293316,0.34278499865693
"Pilot 7",0.267893169551367,-0.057996181424594,0.54564192551704,0.0860983177391954,0.426935750219085
"Pilot 8",0.16793573909668,-0.232876817904685,0.465177716051818,-0.0717098945450016,0.358735871186821
"Salomon (2020)",0.300060279543653,-0.0974180602885702,0.71665663995746,0.091619648426996,0.515486726580989
"Serino (2021) Exp-3",0.549979898684424,0.192681953652715,1.04264546315025,0.312363396115586,0.858047430844301
"Serino 2021 Exp-1",0.388462811461262,0.056390795019341,0.827913373625057,0.204860880574754,0.630432889703887
"Serino 2021 Exp-2",0.473199456324589,0.165691729901036,0.900528198588425,0.282583906334724,0.725309515270352
"in-prep",-0.0196707740755143,-0.687957896519531,0.482059766678236,-0.464688801367304,0.338306105516375
