"Parameter","CI","ROPE_low","ROPE_high","ROPE_Percentage","Effects","Component","interpretation"
"b_Intercept[1]",1,-0.1,0.1,0.0126666666666667,"fixed","conditional","Practically different from zero"
"b_Intercept[2]",1,-0.1,0.1,0.4805,"fixed","conditional","Practically different from zero"
"b_Intercept[3]",1,-0.1,0.1,0.0875416666666667,"fixed","conditional","Practically different from zero"
"b_Intercept[4]",1,-0.1,0.1,0.00120833333333333,"fixed","conditional","Practically different from zero"
"b_Intercept[5]",1,-0.1,0.1,0,"fixed","conditional","Practically different from zero"
"b_Intercept[6]",1,-0.1,0.1,0,"fixed","conditional","Practically different from zero"
"b_ConditionAsync",1,-0.1,0.1,0.0207916666666667,"fixed","conditional","Practically different from zero"
"b_PositionLaying",1,-0.1,0.1,0.0207083333333333,"fixed","conditional","Practically different from zero"
"b_LocationHand",1,-0.1,0.1,0.002,"fixed","conditional","Practically different from zero"
"b_Previous_ExposureRobotmanipulation",1,-0.1,0.1,0.3965,"fixed","conditional","Practically different from zero"
"b_Cognitive_LoadYes",1,-0.1,0.1,0.166416666666667,"fixed","conditional","Practically different from zero"
"b_Duration_sec",1,-0.1,0.1,0.470333333333333,"fixed","conditional","Practically different from zero"
"b_Force_fieldYes",1,-0.1,0.1,0.227125,"fixed","conditional","Practically different from zero"
"b_Age",1,-0.1,0.1,0.628041666666667,"fixed","conditional","Practically different from zero"
"b_Gender_IsMaleMale",1,-0.1,0.1,0.661791666666667,"fixed","conditional","Practically different from zero"
"b_ConditionAsync:PositionLaying",1,-0.1,0.1,0.327375,"fixed","conditional","Practically different from zero"
"b_ConditionAsync:LocationHand",1,-0.1,0.1,0.336,"fixed","conditional","Practically different from zero"
"b_ConditionAsync:Previous_ExposureRobotmanipulation",1,-0.1,0.1,0.310833333333333,"fixed","conditional","Practically different from zero"
"b_ConditionAsync:Cognitive_LoadYes",1,-0.1,0.1,0.197875,"fixed","conditional","Practically different from zero"
"b_ConditionAsync:Duration_sec",1,-0.1,0.1,0.569083333333333,"fixed","conditional","Practically different from zero"
"b_ConditionAsync:Force_fieldYes",1,-0.1,0.1,0.276916666666667,"fixed","conditional","Practically different from zero"
"b_ConditionAsync:Age",1,-0.1,0.1,0.585625,"fixed","conditional","Practically different from zero"
