"outcome","median","lower_89","upper_89","lower_66","upper_66"
"Albert 2024 Exp-1",0.327059599767878,-0.54958963339664,0.99942452143994,-0.21021916683933,0.743013806815672
"Albert 2024 Exp-2",0.500914234637755,-0.248842671476034,1.08810774482537,0.0767857151280305,0.853785034200526
"Bernasconi (2021) Exp-1",0.711391000782538,-0.192739446321579,1.48667348775032,0.203170699581811,1.1710430612945
"Bernasconi (2021) Exp-2",0.665496431571046,-0.0138550045823901,1.39415089896908,0.268802883233261,1.0822082724338
"Blanke 2014",0.916594318631426,0.20602093695551,1.49905477413309,0.527321846595774,1.26725901676367
"Dhanis (2024) Ses-1",0.132268975206256,-0.655333223312227,0.837260196268132,-0.317406137939864,0.545164542507345
"Faivre (2020) Exp-1",0.564705917979542,-0.184045751658778,1.36202949823195,0.148032559425856,1.00128013106536
"Faivre (2020) Exp-2",1.00754483650395,0.0340613230051242,2.21923494586319,0.351170610881585,1.82072086806212
"Faivre (2020) Exp-3",0.530333468089073,-0.129603421729715,1.2225045059732,0.146418721871065,0.927362723379814
"Orepic (2024) Exp-1",0.223273389814737,-0.623195062280264,0.824885020964628,-0.282856111310265,0.608293550016935
"Orepic (2024) Exp-2",0.516925617414822,-0.12423042493506,1.03599650602213,0.164903039892258,0.825774815182646
"Orepic 2021 Exp-1",0.43142428534447,-0.332322170567317,1.11104790241585,-0.00686831133943401,0.829967902838427
"Orepic_2021 Exp-2",0.295494557726854,-0.404786257987498,0.944710132746704,-0.10483710963307,0.675829807057577
"Pilot 1",0.354092191251367,-0.440438107652319,1.25865186528578,-0.107067328032225,0.849454995424912
"Pilot 2",0.592024940672158,-0.329955964002345,1.36902889970462,0.0780342622515179,1.04429479009619
"Pilot 3",0.679607392458659,0.108032930551466,1.52160078985574,0.31141708444333,1.19593897952703
"Pilot 4",0.38932970523849,-0.325618188613192,1.1867093940672,-0.0308894516955319,0.842260368546063
"Pilot 5",0.481612682425774,-0.0556751864647734,1.0294138893617,0.176608713611775,0.788655874534852
"Pilot 6",0.0723145375148635,-0.920387445609184,0.820886322554107,-0.523385772262813,0.547435888145085
"Pilot 7",0.352751675206965,-0.184975578006865,0.95472577701824,0.0360275714568965,0.688569403016969
"Pilot 8",0.189818166225173,-0.410930450736227,0.716892000850089,-0.151116771910974,0.502188499553669
"Salomon (2020)",0.236537406333861,-0.859155258314183,1.50490912063669,-0.531544203789651,1.09912499724453
"Serino (2021) Exp-3",0.80909084245223,0.225910949862787,1.53504232615434,0.458877230942501,1.22584388107779
"Serino 2021 Exp-1",0.582532898729784,-0.0548096244433913,1.27248050844281,0.213358355343756,0.9747102537663
"Serino 2021 Exp-2",0.749375147962463,0.18261672395688,1.35041562048065,0.416822549067689,1.09684194489131
"in-prep",0.0581714160724539,-1.0879617091817,0.911977223307406,-0.672352337056576,0.614561843689137
