"Parameter","CI","ROPE_low","ROPE_high","ROPE_Percentage","Effects","Component","interpretation"
"b_Intercept[1]",1,-0.1,0.1,0.00341666666666667,"fixed","conditional","Practically different from zero"
"b_Intercept[2]",1,-0.1,0.1,0.306416666666667,"fixed","conditional","Practically different from zero"
"b_Intercept[3]",1,-0.1,0.1,0.0570833333333333,"fixed","conditional","Practically different from zero"
"b_Intercept[4]",1,-0.1,0.1,0.000541666666666667,"fixed","conditional","Practically different from zero"
"b_Intercept[5]",1,-0.1,0.1,0,"fixed","conditional","Practically different from zero"
"b_Intercept[6]",1,-0.1,0.1,0,"fixed","conditional","Practically different from zero"
"b_ConditionAsync",1,-0.1,0.1,0.0160416666666667,"fixed","conditional","Practically different from zero"
"b_PositionLaying",1,-0.1,0.1,0.013375,"fixed","conditional","Practically different from zero"
"b_LocationHand",1,-0.1,0.1,4.16666666666667e-05,"fixed","conditional","Practically different from zero"
"b_Previous_ExposureRobotmanipulation",1,-0.1,0.1,0.132583333333333,"fixed","conditional","Practically different from zero"
"b_Cognitive_LoadYes",1,-0.1,0.1,0.105791666666667,"fixed","conditional","Practically different from zero"
"b_Duration_sec",1,-0.1,0.1,0.305875,"fixed","conditional","Practically different from zero"
"b_Force_fieldYes",1,-0.1,0.1,0.143625,"fixed","conditional","Practically different from zero"
"b_Age",1,-0.1,0.1,0.322708333333333,"fixed","conditional","Practically different from zero"
"b_Gender_IsMaleMale",1,-0.1,0.1,0.451125,"fixed","conditional","Practically different from zero"
"b_ConditionAsync:PositionLaying",1,-0.1,0.1,0.228041666666667,"fixed","conditional","Practically different from zero"
"b_ConditionAsync:LocationHand",1,-0.1,0.1,0.264083333333333,"fixed","conditional","Practically different from zero"
"b_ConditionAsync:Previous_ExposureRobotmanipulation",1,-0.1,0.1,0.272708333333333,"fixed","conditional","Practically different from zero"
"b_ConditionAsync:Cognitive_LoadYes",1,-0.1,0.1,0.120416666666667,"fixed","conditional","Practically different from zero"
"b_ConditionAsync:Duration_sec",1,-0.1,0.1,0.395333333333333,"fixed","conditional","Practically different from zero"
"b_ConditionAsync:Force_fieldYes",1,-0.1,0.1,0.191875,"fixed","conditional","Practically different from zero"
"b_ConditionAsync:Age",1,-0.1,0.1,0.533166666666667,"fixed","conditional","Practically different from zero"
